id,listtype,list,listnum,category,letter,itemnum,response,rt,semantic,phonological,overlap,hard_switch,soft_switch,any_switch,cue_combo,cue_valid,condition
R_11oxznFVfJMfzg2,semantic_4,semantic,4,bodyparts,,3,head,2742,yes,no,no,no,no,no,semantic_only,yes,semantic
R_11oxznFVfJMfzg2,semantic_4,semantic,4,bodyparts,,4,arm,1178,yes,no,no,no,no,no,semantic_only,yes,semantic
R_11oxznFVfJMfzg2,semantic_4,semantic,4,bodyparts,,5,elbow,1321,yes,no,no,no,no,no,semantic_only,yes,semantic
R_11oxznFVfJMfzg2,semantic_4,semantic,4,bodyparts,,6,finger,1569,yes,no,no,no,no,no,semantic_only,yes,semantic
R_11oxznFVfJMfzg2,semantic_4,semantic,4,bodyparts,,7,hand,1478,yes,no,no,no,no,no,semantic_only,yes,semantic
R_11oxznFVfJMfzg2,semantic_4,semantic,4,bodyparts,,8,shoulder,2365,yes,no,no,no,no,no,semantic_only,yes,semantic
R_11oxznFVfJMfzg2,semantic_4,semantic,4,bodyparts,,9,knee,1128,yes,no,no,no,no,no,semantic_only,yes,semantic
R_11oxznFVfJMfzg2,semantic_4,semantic,4,bodyparts,,10,leg,1372,yes,no,no,no,no,no,semantic_only,yes,semantic
R_11oxznFVfJMfzg2,semantic_4,semantic,4,bodyparts,,11,ankle,1865,yes,no,no,no,no,no,semantic_only,yes,semantic
R_11oxznFVfJMfzg2,semantic_4,semantic,4,bodyparts,,12,foot,2512,yes,no,no,no,no,no,semantic_only,yes,semantic
R_11oxznFVfJMfzg2,semantic_4,semantic,4,bodyparts,,13,toe,1692,yes,no,no,no,no,no,semantic_only,yes,semantic
R_11oxznFVfJMfzg2,semantic_4,semantic,4,bodyparts,,14,stomach,2131,yes,no,no,no,no,no,semantic_only,yes,semantic
R_11oxznFVfJMfzg2,semantic_4,semantic,4,bodyparts,,15,chest,4560,yes,no,no,no,no,no,semantic_only,yes,semantic
R_11oxznFVfJMfzg2,semantic_4,semantic,4,bodyparts,,16,back,3786,yes,no,no,no,no,no,semantic_only,yes,semantic
R_11oxznFVfJMfzg2,semantic_4,semantic,4,bodyparts,,17,nose,4018,yes,no,no,no,no,no,semantic_only,yes,semantic
R_11oxznFVfJMfzg2,semantic_4,semantic,4,bodyparts,,18,mouth,1783,yes,no,no,no,no,no,semantic_only,yes,semantic
R_11oxznFVfJMfzg2,semantic_4,semantic,4,bodyparts,,19,thumb,7027,no,no,no,no,no,no,neither,no,semantic
R_11oxznFVfJMfzg2,semantic_4,semantic,4,bodyparts,,20,wrist,2162,yes,no,no,no,no,no,semantic_only,yes,semantic
R_11oxznFVfJMfzg2,semantic_4,semantic,4,bodyparts,,21,neck,3495,yes,no,no,no,no,no,semantic_only,yes,semantic
